id_articulo,Seccion,nombre,Precio,fecha,importado,paisorigen
1,Electrónica,Auriculares Bluetooth,25.99,2024-02-15,Sí,China
2,Hogar,Silla de madera,89.9,2024-01-10,No,España
3,Ropa,Camiseta algodón,15.5,2024-03-01,Sí,India
4,Juguetes,Pelota de fútbol,19.99,2024-02-20,No,Brasil
5,Alimentación,Café molido 1kg,12.75,2024-03-05,Sí,Colombia
6,Electrónica,Teléfono móvil,399.99,2024-02-28,Sí,Corea del Sur
7,Hogar,Aspiradora,149,2024-01-20,No,Alemania
8,Ropa,Zapatos deportivos,79.99,2024-02-05,Sí,Vietnam
9,Juguetes,Muñeca articulada,29.5,2024-01-25,No,México
10,Alimentación,Aceite de oliva,10.99,2024-03-10,No,España
11,Electrónica,Laptop,999,2024-02-12,Sí,China
12,Hogar,Mesa extensible,199.99,2024-01-18,No,Italia
13,Ropa,Pantalón vaquero,49.9,2024-03-08,Sí,Bangladesh
14,Juguetes,Rompecabezas 1000pcs,17.5,2024-02-14,No,Francia
15,Alimentación,Chocolate negro 70%,5.99,2024-03-02,Sí,Suiza
16,Electrónica,Cámara fotográfica,750,2024-02-22,Sí,Japón
17,Hogar,Lámpara de escritorio,35.5,2024-01-28,No,Suecia
18,Ropa,Chaqueta impermeable,120,2024-03-06,Sí,Canadá
19,Juguetes,Coches de juguete,22.99,2024-02-18,No,Estados Unidos
20,Alimentación,Vino tinto reserva,18.75,2024-03-12,Sí,Argentina
21,Electrónica,Tablet,299,2024-02-26,Sí,China
22,Hogar,Almohada viscoelástica,45,2024-01-12,No,Portugal
23,Ropa,Bufanda lana merino,30.99,2024-03-04,Sí,Perú
24,Juguetes,Set de plastilina,14.5,2024-02-08,No,Reino Unido
25,Alimentación,Queso parmesano,25.99,2024-03-14,Sí,Italia
26,Electrónica,Consola de videojuegos,499.99,2024-02-24,Sí,Estados Unidos
27,Hogar,Espejo de pared,89.99,2024-01-30,No,Francia
28,Ropa,Guantes térmicos,19.99,2024-03-07,Sí,Alemania
29,Juguetes,Cubo Rubik,8.99,2024-02-16,No,China
30,Alimentación,Miel orgánica,9.99,2024-03-16,Sí,Grecia
31,Electrónica,Smartwatch,179,2024-02-20,Sí,Corea del Sur
32,Hogar,Sábanas de algodón,55.99,2024-01-15,No,Egipto
33,Ropa,Sombrero de paja,14,2024-03-09,Sí,Ecuador
34,Juguetes,Marioneta de mano,12,2024-02-10,No,Turquía
35,Alimentación,Té verde premium,7.5,2024-03-18,Sí,Japón
36,Electrónica,Router WiFi 6,120,2024-02-14,Sí,Estados Unidos
37,Hogar,Cortinas opacas,65,2024-01-22,No,Dinamarca
38,Ropa,Vestido de fiesta,95,2024-03-11,Sí,Italia
39,Juguetes,Set de pintura,20.5,2024-02-12,No,Francia
40,Alimentación,Pan artesanal,4.75,2024-03-20,Sí,España